Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Disease,Prescription 1,Prescription 2,Prescription 3
blurred vision,fever,loss of appetite,cough,body ache,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
vomiting,chills,nausea,body ache,fever,Malaria,Chloroquine,Artemether,Primaquine
cough,runny nose,sneezing,sore throat,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
runny nose,sore throat,congestion,diarrhea,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,shortness of breath,cough,chest pain,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
cough,joint pain,sneezing,fever,shortness of breath,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
headache,fatigue,chills,body ache,fever,Influenza,N/A,N/A,N/A
congestion,headache,sore throat,runny nose,,Sinusitis,N/A,N/A,N/A
chills,fever,body ache,fatigue,headache,Influenza,N/A,N/A,N/A
fever,fatigue,body ache,headache,chills,Influenza,N/A,N/A,N/A
runny nose,sneezing,sore throat,congestion,headache,Sinusitis,N/A,N/A,N/A
vomiting,fatigue,headache,nausea,blurred vision,Migraine,N/A,N/A,N/A
chills,nausea,fever,vomiting,body ache,Malaria,Chloroquine,Artemether,Primaquine
headache,vomiting,diarrhea,joint pain,nausea,Gastroenteritis,N/A,N/A,N/A
cough,sneezing,sore throat,congestion,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,chills,cough,fatigue,body ache,Influenza,N/A,N/A,N/A
chills,headache,fatigue,body ache,fever,Influenza,N/A,N/A,N/A
joint pain,fever,sore throat,rash,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
runny nose,congestion,sneezing,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
congestion,sore throat,headache,runny nose,chest pain,Sinusitis,N/A,N/A,N/A
diarrhea,headache,vomiting,nausea,blurred vision,Migraine,N/A,N/A,N/A
rash,dizziness,itchy eyes,runny nose,sneezing,Allergic Rhinitis,N/A,N/A,N/A
nausea,diarrhea,vomiting,fever,,Gastroenteritis,N/A,N/A,N/A
shortness of breath,cough,fever,congestion,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
congestion,sore throat,cough,runny nose,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,body ache,diarrhea,chills,vomiting,Malaria,Chloroquine,Artemether,Primaquine
sore throat,sneezing,runny nose,cough,diarrhea,Common Cold,Antihistamines,Decongestants,Rest & Fluids
chest pain,cough,fever,shortness of breath,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
sore throat,runny nose,shortness of breath,headache,congestion,Sinusitis,N/A,N/A,N/A
cough,blurred vision,shortness of breath,fever,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
joint pain,headache,fever,rash,nausea,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
headache,rash,joint pain,runny nose,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fatigue,chills,headache,fever,diarrhea,Influenza,N/A,N/A,N/A
rash,fever,headache,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
body ache,chills,fever,loss of appetite,nausea,Malaria,Chloroquine,Artemether,Primaquine
nausea,blurred vision,vomiting,headache,,Migraine,N/A,N/A,N/A
shortness of breath,cough,fatigue,fever,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
headache,blurred vision,nausea,vomiting,body ache,Migraine,N/A,N/A,N/A
body ache,chills,vomiting,fever,nausea,Malaria,Chloroquine,Artemether,Primaquine
joint pain,rash,fever,headache,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
sore throat,runny nose,headache,congestion,,Sinusitis,N/A,N/A,N/A
vomiting,loss of appetite,diarrhea,fever,nausea,Gastroenteritis,N/A,N/A,N/A
fever,rash,joint pain,headache,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
chills,headache,body ache,fever,fatigue,Influenza,N/A,N/A,N/A
runny nose,congestion,nausea,itchy eyes,chills,Allergic Rhinitis,N/A,N/A,N/A
chest pain,joint pain,shortness of breath,cough,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
cough,sore throat,congestion,runny nose,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
nausea,vomiting,diarrhea,fever,,Gastroenteritis,N/A,N/A,N/A
fatigue,fever,sneezing,body ache,headache,Influenza,N/A,N/A,N/A
headache,body ache,fatigue,chills,fever,Influenza,N/A,N/A,N/A
runny nose,nausea,headache,loss of appetite,sore throat,Sinusitis,N/A,N/A,N/A
sore throat,congestion,sneezing,cough,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
vomiting,diarrhea,fever,nausea,,Gastroenteritis,N/A,N/A,N/A
runny nose,nausea,congestion,diarrhea,vomiting,Gastroenteritis,N/A,N/A,N/A
itchy eyes,sneezing,congestion,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
fever,cough,shortness of breath,chest pain,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fever,blurred vision,diarrhea,vomiting,headache,Gastroenteritis,N/A,N/A,N/A
fever,rash,headache,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
diarrhea,nausea,chest pain,congestion,fever,Gastroenteritis,N/A,N/A,N/A
rash,nausea,blurred vision,headache,vomiting,Migraine,N/A,N/A,N/A
nausea,rash,fever,headache,joint pain,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
diarrhea,cough,fever,nausea,vomiting,Gastroenteritis,N/A,N/A,N/A
headache,fatigue,cough,body ache,chills,Influenza,N/A,N/A,N/A
congestion,itchy eyes,chest pain,sneezing,runny nose,Allergic Rhinitis,N/A,N/A,N/A
cough,shortness of breath,loss of appetite,fatigue,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
